district,heavy_rain_months,rainfall_hazard,hand_hazard,combined_flood_hazard
Bagerhat,9,0.28125,0.545,0.413125
Bandarban,20,0.625,0.5398,0.5824
Barguna,7,0.21875,0.3734,0.296075
Barisal,1,0.03125,0.4516,0.241425
Bhola,12,0.375,0.3461,0.36055000000000004
Bogra,22,0.6875,0.5478,0.61765
Brahamanbaria,2,0.0625,0.4351,0.2488
Chandpur,10,0.3125,0.4903,0.4014
Chittagong,13,0.40625,0.377,0.391625
Chuadanga,2,0.0625,0.5531,0.3078
Comilla,18,0.5625,0.4827,0.5226
Cox's Bazar,7,0.21875,0.2702,0.244475
Dhaka,0,0.0,0.4693,0.23465
Dinajpur,21,0.65625,0.3919,0.5240750000000001
Faridpur,10,0.3125,0.4906,0.40154999999999996
Feni,5,0.15625,0.4475,0.301875
Gaibandha,26,0.8125,0.5247,0.6686000000000001
Gazipur,11,0.34375,0.5629,0.453325
Gopalganj,9,0.28125,0.5271,0.404175
Habiganj,32,1.0,0.6043,0.8021499999999999
Jamalpur,25,0.78125,0.3682,0.574725
Jessore,11,0.34375,0.534,0.438875
Jhalokati,0,0.0,0.384,0.192
Jhenaidah,24,0.75,0.4484,0.5992
Joypurhat,22,0.6875,0.5493,0.6184000000000001
Khagrachhari,10,0.3125,0.5033,0.4079
Khulna,12,0.375,0.4485,0.41175
Kishoreganj,26,0.8125,0.5273,0.6698999999999999
Kurigram,19,0.59375,0.5207,0.5572250000000001
Kushtia,24,0.75,0.4166,0.5833
Lakshmipur,23,0.71875,0.4265,0.5726249999999999
Lalmonirhat,29,0.90625,0.2525,0.579375
Madaripur,0,0.0,0.4261,0.21305
Magura,2,0.0625,0.5251,0.2938
Manikganj,6,0.1875,0.5078,0.34765
Maulvibazar,11,0.34375,0.4856,0.414675
Meherpur,0,0.0,0.5078,0.2539
Munshiganj,2,0.0625,0.4512,0.25685
Mymensingh,32,1.0,0.5329,0.7664500000000001
Naogaon,23,0.71875,0.5662,0.642475
Narail,0,0.0,0.514,0.257
Narayanganj,29,0.90625,0.5073,0.7067749999999999
Narsingdi,10,0.3125,0.4596,0.38605
Natore,20,0.625,0.5668,0.5959
Nawabganj,2,0.0625,0.5378,0.30015
Netrakona,26,0.8125,0.5247,0.6686000000000001
Nilphamari,19,0.59375,0.595,0.594375
Noakhali,24,0.75,0.3922,0.5710999999999999
Pabna,9,0.28125,0.5077,0.394475
Panchagarh,20,0.625,0.3997,0.51235
Patuakhali,19,0.59375,0.4649,0.529325
Pirojpur,13,0.40625,0.4314,0.418825
Rajbari,2,0.0625,0.4735,0.268
Rajshahi,3,0.09375,0.5098,0.301775
Rangamati,21,0.65625,0.3689,0.512575
Rangpur,20,0.625,0.5046,0.5648
Satkhira,24,0.75,0.5158,0.6329
Shariatpur,30,0.9375,0.5668,0.75215
Sherpur,18,0.5625,0.6385,0.6005
Sirajganj,23,0.71875,0.4681,0.593425
Sunamganj,32,1.0,0.622,0.8109999999999999
Sylhet,30,0.9375,0.585,0.76125
Tangail,8,0.25,0.6321,0.44105
Thakurgaon,20,0.625,0.5248,0.5749
