district,hand_hazard
Bagerhat,0.0772
Bandarban,0.0108
Barguna,0.0279
Barisal,0.0574
Bhola,0.1022
Bogra,0.0075
Brahamanbaria,0.0094
Chandpur,0.0336
Chittagong,0.0321
Chuadanga,0.0197
Comilla,0.0084
Cox's Bazar,0.0323
Dhaka,0.0066
Dinajpur,0.0149
Faridpur,0.007
Feni,0.0361
Gaibandha,0.0075
Gazipur,0.0065
Gopalganj,0.0073
Habiganj,0.0146
Jamalpur,0.0071
Jessore,0.0151
Jhalokati,0.0053
Jhenaidah,0.0132
Joypurhat,0.0177
Khagrachhari,0.0164
Khulna,0.0606
Kishoreganj,0.0073
Kurigram,0.0379
Kushtia,0.0121
Lakshmipur,0.0254
Lalmonirhat,0.0328
Madaripur,0.006
Magura,0.0076
Manikganj,0.0073
Maulvibazar,0.026
Meherpur,0.0387
Munshiganj,0.0064
Mymensingh,0.0078
Naogaon,0.0189
Narail,0.0073
Narayanganj,0.0076
Narsingdi,0.0065
Natore,0.008
Nawabganj,0.0271
Netrakona,0.0088
Nilphamari,0.0163
Noakhali,0.0509
Pabna,0.0068
Panchagarh,0.0426
Patuakhali,0.0701
Pirojpur,0.0078
Rajbari,0.0066
Rajshahi,0.0126
Rangamati,0.0197
Rangpur,0.0071
Satkhira,0.1048
Shariatpur,0.0342
Sherpur,0.0138
Sirajganj,0.0069
Sunamganj,0.0122
Sylhet,0.0148
Tangail,0.0086
Thakurgaon,0.0334
