district,heatwave_days,heat_hazard
Bagerhat,177,0.6331360946745562
Bandarban,239,1.0
Barguna,102,0.1893491124260355
Barisal,152,0.48520710059171596
Bhola,92,0.1301775147928994
Bogra,145,0.4437869822485207
Brahamanbaria,106,0.21301775147928995
Chandpur,133,0.3727810650887574
Chittagong,172,0.6035502958579881
Chuadanga,225,0.9171597633136095
Comilla,159,0.5266272189349113
Cox's Bazar,111,0.24260355029585798
Dhaka,125,0.3254437869822485
Dinajpur,139,0.40828402366863903
Faridpur,177,0.6331360946745562
Feni,143,0.4319526627218935
Gaibandha,107,0.21893491124260356
Gazipur,121,0.30177514792899407
Gopalganj,178,0.6390532544378699
Habiganj,110,0.23668639053254437
Jamalpur,93,0.13609467455621302
Jessore,218,0.8757396449704142
Jhalokati,129,0.34911242603550297
Jhenaidah,221,0.893491124260355
Joypurhat,138,0.40236686390532544
Khagrachhari,157,0.514792899408284
Khulna,183,0.6686390532544378
Kishoreganj,108,0.22485207100591717
Kurigram,78,0.047337278106508875
Kushtia,203,0.7869822485207101
Lakshmipur,115,0.26627218934911245
Lalmonirhat,80,0.05917159763313609
Madaripur,154,0.4970414201183432
Magura,186,0.6863905325443787
Manikganj,151,0.47928994082840237
Maulvibazar,115,0.26627218934911245
Meherpur,221,0.893491124260355
Munshiganj,105,0.20710059171597633
Mymensingh,112,0.2485207100591716
Naogaon,176,0.6272189349112426
Narail,181,0.6568047337278107
Narayanganj,107,0.21893491124260356
Narsingdi,97,0.15976331360946747
Natore,186,0.6863905325443787
Nawabganj,228,0.9349112426035503
Netrakona,98,0.16568047337278108
Nilphamari,100,0.17751479289940827
Noakhali,143,0.4319526627218935
Pabna,183,0.6686390532544378
Panchagarh,80,0.05917159763313609
Patuakhali,110,0.23668639053254437
Pirojpur,153,0.4911242603550296
Rajbari,174,0.6153846153846154
Rajshahi,221,0.893491124260355
Rangamati,217,0.8698224852071006
Rangpur,113,0.25443786982248523
Satkhira,200,0.7692307692307693
Shariatpur,119,0.28994082840236685
Sherpur,70,0.0
Sirajganj,155,0.5029585798816568
Sunamganj,101,0.1834319526627219
Sylhet,86,0.09467455621301775
Tangail,138,0.40236686390532544
Thakurgaon,127,0.33727810650887574
