district,heavy_rain_months,rainfall_hazard
Bagerhat,0,0.0
Bandarban,8,0.3076923076923077
Barguna,0,0.0
Barisal,0,0.0
Bhola,1,0.038461538461538464
Bogra,1,0.038461538461538464
Brahamanbaria,0,0.0
Chandpur,0,0.0
Chittagong,1,0.038461538461538464
Chuadanga,0,0.0
Comilla,3,0.11538461538461539
Cox's Bazar,0,0.0
Dhaka,0,0.0
Dinajpur,2,0.07692307692307693
Faridpur,0,0.0
Feni,0,0.0
Gaibandha,6,0.23076923076923078
Gazipur,0,0.0
Gopalganj,0,0.0
Habiganj,13,0.5
Jamalpur,4,0.15384615384615385
Jessore,0,0.0
Jhalokati,0,0.0
Jhenaidah,7,0.2692307692307692
Joypurhat,1,0.038461538461538464
Khagrachhari,1,0.038461538461538464
Khulna,0,0.0
Kishoreganj,5,0.19230769230769232
Kurigram,2,0.07692307692307693
Kushtia,6,0.23076923076923078
Lakshmipur,6,0.23076923076923078
Lalmonirhat,14,0.5384615384615384
Madaripur,0,0.0
Magura,0,0.0
Manikganj,0,0.0
Maulvibazar,0,0.0
Meherpur,0,0.0
Munshiganj,0,0.0
Mymensingh,21,0.8076923076923077
Naogaon,6,0.23076923076923078
Narail,0,0.0
Narayanganj,12,0.46153846153846156
Narsingdi,0,0.0
Natore,0,0.0
Nawabganj,0,0.0
Netrakona,4,0.15384615384615385
Nilphamari,0,0.0
Noakhali,7,0.2692307692307692
Pabna,0,0.0
Panchagarh,1,0.038461538461538464
Patuakhali,1,0.038461538461538464
Pirojpur,0,0.0
Rajbari,0,0.0
Rajshahi,0,0.0
Rangamati,3,0.11538461538461539
Rangpur,0,0.0
Satkhira,5,0.19230769230769232
Shariatpur,10,0.38461538461538464
Sherpur,0,0.0
Sirajganj,0,0.0
Sunamganj,26,1.0
Sylhet,15,0.5769230769230769
Tangail,0,0.0
Thakurgaon,0,0.0
