district,heavy_rain_months,rainfall_hazard,hand_hazard,combined_flood_hazard,heatwave_days,heat_hazard,total_hazard,total_hazard_normalized
Bagerhat,9,0.28125,0.545,0.413125,111,0.5167785234899329,0.9299035234899329,0.5876538950264996
Bandarban,20,0.625,0.5398,0.5824,183,1.0,1.5824,1.0
Barguna,7,0.21875,0.3734,0.296075,52,0.1208053691275167,0.4168803691275167,0.26344816046986647
Barisal,1,0.03125,0.4516,0.241425,94,0.4026845637583892,0.6441095637583891,0.4070459831637949
Bhola,12,0.375,0.3461,0.36055,45,0.0738255033557047,0.4343755033557047,0.27450423619546555
Bogra,22,0.6875,0.5478,0.61765,96,0.4161073825503356,1.0337573825503357,0.6532844935227096
Brahamanbaria,2,0.0625,0.4351,0.2488,67,0.2214765100671141,0.47027651006711413,0.2971919300221904
Chandpur,10,0.3125,0.4903,0.4014,75,0.2751677852348993,0.6765677852348992,0.4275580038137634
Chittagong,13,0.40625,0.377,0.391625,112,0.5234899328859061,0.9151149328859061,0.5783082235123269
Chuadanga,2,0.0625,0.5531,0.3078,154,0.8053691275167785,1.1131691275167785,0.7034688621819885
Comilla,18,0.5625,0.4827,0.5226,96,0.4161073825503356,0.9387073825503356,0.5932175066673
Cox's Bazar,7,0.21875,0.2702,0.244475,65,0.2080536912751678,0.4525286912751678,0.2859761699160565
Dhaka,0,0.0,0.4693,0.23465,73,0.261744966442953,0.496394966442953,0.3136975268218864
Dinajpur,21,0.65625,0.3919,0.5240750000000001,97,0.4228187919463087,0.9468937919463087,0.5983909200874044
Faridpur,10,0.3125,0.4906,0.4015499999999999,117,0.5570469798657718,0.9585969798657716,0.6057867668514735
Feni,5,0.15625,0.4475,0.301875,84,0.3355704697986577,0.6374454697986577,0.4028345992155319
Gaibandha,26,0.8125,0.5247,0.6686000000000001,71,0.2483221476510067,0.9169221476510068,0.5794502955327393
Gazipur,11,0.34375,0.5629,0.453325,73,0.261744966442953,0.715069966442953,0.45188951367729585
Gopalganj,9,0.28125,0.5271,0.404175,114,0.5369127516778524,0.9410877516778524,0.5947217844273587
Habiganj,32,1.0,0.6043,0.8021499999999999,57,0.1543624161073825,0.9565124161073824,0.6044694237281233
Jamalpur,25,0.78125,0.3682,0.574725,56,0.1476510067114094,0.7223760067114094,0.45650657653653276
Jessore,11,0.34375,0.534,0.438875,143,0.7315436241610739,1.170418624161074,0.7396477655214067
Jhalokati,0,0.0,0.384,0.192,79,0.3020134228187919,0.4940134228187919,0.3121925068369514
Jhenaidah,24,0.75,0.4484,0.5992,158,0.8322147651006712,1.431414765100671,0.9045846594417789
Joypurhat,22,0.6875,0.5493,0.6184000000000001,90,0.3758389261744966,0.9942389261744966,0.6283107470769064
Khagrachhari,10,0.3125,0.5033,0.4079,105,0.4765100671140939,0.8844100671140939,0.5589042385705851
Khulna,12,0.375,0.4485,0.41175,113,0.5302013422818792,0.9419513422818793,0.5952675317757073
Kishoreganj,26,0.8125,0.5273,0.6698999999999999,65,0.2080536912751678,0.8779536912751678,0.5548241223933063
Kurigram,19,0.59375,0.5207,0.5572250000000001,41,0.046979865771812,0.6042048657718121,0.3818281507658064
Kushtia,24,0.75,0.4166,0.5833,131,0.6510067114093959,1.234306711409396,0.7800219359260591
Lakshmipur,23,0.71875,0.4265,0.5726249999999999,67,0.2214765100671141,0.794101510067114,0.5018336135408962
Lalmonirhat,29,0.90625,0.2525,0.579375,49,0.1006711409395973,0.6800461409395973,0.4297561558010599
Madaripur,0,0.0,0.4261,0.21305,98,0.4295302013422818,0.6425802013422818,0.40607950034269574
Magura,2,0.0625,0.5251,0.2938,128,0.6308724832214765,0.9246724832214765,0.5843481314594771
Manikganj,6,0.1875,0.5078,0.34765,92,0.3892617449664429,0.7369117449664428,0.4656924576380453
Maulvibazar,11,0.34375,0.4856,0.414675,49,0.1006711409395973,0.5153461409395973,0.32567374932987697
Meherpur,0,0.0,0.5078,0.2539,156,0.8187919463087249,1.072691946308725,0.6778892481728546
Munshiganj,2,0.0625,0.4512,0.25685,61,0.1812080536912751,0.43805805369127515,0.27683142927911725
Mymensingh,32,1.0,0.5329,0.7664500000000001,64,0.2013422818791946,0.9677922818791946,0.6115977514403403
Naogaon,23,0.71875,0.5662,0.642475,121,0.5838926174496645,1.2263676174496645,0.7750048138584836
Narail,0,0.0,0.514,0.257,120,0.5771812080536913,0.8341812080536913,0.5271620374454571
Narayanganj,29,0.90625,0.5073,0.7067749999999999,69,0.2348993288590604,0.9416743288590603,0.5950924727370199
Narsingdi,10,0.3125,0.4596,0.38605,63,0.1946308724832214,0.5806808724832214,0.3669621287179104
Natore,20,0.625,0.5668,0.5959,124,0.6040268456375839,1.199926845637584,0.7582955293462993
Nawabganj,2,0.0625,0.5378,0.30015,163,0.8657718120805369,1.1659218120805368,0.7368059985342118
Netrakona,26,0.8125,0.5247,0.6686000000000001,52,0.1208053691275167,0.7894053691275168,0.4988658803889767
Nilphamari,19,0.59375,0.595,0.594375,64,0.2013422818791946,0.7957172818791945,0.5028547029064677
Noakhali,24,0.75,0.3922,0.5710999999999999,86,0.348993288590604,0.9200932885906039,0.5814543026988144
Pabna,9,0.28125,0.5077,0.394475,111,0.5167785234899329,0.9112535234899329,0.5758680001832235
Panchagarh,20,0.625,0.3997,0.51235,55,0.1409395973154362,0.6532895973154362,0.4128473188292696
Patuakhali,19,0.59375,0.4649,0.529325,61,0.1812080536912751,0.7105330536912752,0.449022405012181
Pirojpur,13,0.40625,0.4314,0.418825,90,0.3758389261744966,0.7946639261744965,0.5021890332245301
Rajbari,2,0.0625,0.4735,0.268,117,0.5570469798657718,0.8250469798657718,0.5213896485501591
Rajshahi,3,0.09375,0.5098,0.301775,157,0.825503355704698,1.1272783557046981,0.7123852096212703
Rangamati,21,0.65625,0.3689,0.512575,147,0.7583892617449665,1.2709642617449664,0.8031877286052619
Rangpur,20,0.625,0.5046,0.5648,76,0.2818791946308724,0.8466791946308724,0.5350601583865472
Satkhira,24,0.75,0.5158,0.6329,127,0.6241610738255033,1.2570610738255033,0.7944015886157123
Shariatpur,30,0.9375,0.5668,0.75215,80,0.3087248322147651,1.0608748322147652,0.6704214055957818
Sherpur,18,0.5625,0.6385,0.6005,45,0.0738255033557047,0.6743255033557047,0.4261409904927355
Sirajganj,23,0.71875,0.4681,0.593425,88,0.3624161073825503,0.9558411073825503,0.6040451891952416
Sunamganj,32,1.0,0.622,0.8109999999999999,50,0.1073825503355704,0.9183825503355704,0.5803731991503858
Sylhet,30,0.9375,0.585,0.76125,34,0.0,0.76125,0.4810730535894843
Tangail,8,0.25,0.6321,0.44105,76,0.2818791946308724,0.7229291946308725,0.45685616445328137
Thakurgaon,20,0.625,0.5248,0.5749,90,0.3758389261744966,0.9507389261744965,0.6008208583003644
